# SETUP BEGIN
# File Stream: file_name: ./data/elec.csv  -  num_classes: 2  -  num_classification_tasks: 1
# KNN Classifier: max_window_size: 100 - leaf_size: 30
# HoeffdingTree: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: mc - nb_threshold: 0 - nominal_attributes: [] - 
# Prequential Evaluator: n_wait: 500 - max_instances: 10000 - max_time: 1000000000 - output_file: result_elec.csv - batch_size: 1 - pretrain_size: 1000 - task_type: classification - show_plotFalse - plot_options: ['performance']
# SETUP END
x_count,global_performance_0,sliding_window_performance_0,global_performance_1,sliding_window_performance_1,global_performance_2,sliding_window_performance_2
500,0.788,0.788,0.792,0.792,0.832,0.832
1000,0.786,0.784,0.756,0.72,0.755,0.678
1500,0.741,0.65,0.743,0.716,0.721,0.652
2000,0.737,0.726,0.774,0.866,0.731,0.762
2500,0.726,0.682,0.781,0.81,0.756,0.856
3000,0.735,0.778,0.802,0.908,0.776,0.878
3500,0.729,0.692,0.81,0.86,0.779,0.796
4000,0.726,0.706,0.814,0.844,0.775,0.744
4500,0.726,0.73,0.807,0.75,0.772,0.752
5000,0.725,0.71,0.808,0.814,0.762,0.674
5500,0.722,0.7,0.81,0.834,0.756,0.692
6000,0.714,0.618,0.817,0.89,0.761,0.812
6500,0.708,0.638,0.812,0.754,0.757,0.714
7000,0.712,0.764,0.816,0.866,0.758,0.77
7500,0.713,0.728,0.818,0.846,0.763,0.832
8000,0.715,0.748,0.823,0.892,0.767,0.828
8500,0.714,0.688,0.82,0.784,0.768,0.78
9000,0.716,0.758,0.823,0.874,0.769,0.786
9500,0.719,0.778,0.825,0.846,0.774,0.86
